"fdc_id","food_description","Food_Group_Code","Food_Group","source_fct","nutrient_data_source","ENERCkcal","PROCNTg","PROANIg","MFP_PROTg","FAT_g","FASATg","FAMSg","FAPUg","CHOCDFg","CHOLEmg","FIB_g","SUCSg","PHYTACmg","VITA_RAEmcg","A_VITAmcg","VITDmcg","VITEmcg","VITCmg","THIAmg","RIBFmg","NIAmg","VITB6_mg","FOLmcg","VITB12mg","PANTACmg","TRPmg","THRmg","ILEmg","LEUmg","LYSmg","METmg","CYSmg","PHEmg","TYRmg","VALmg","ARGmg","HISmg","CAmg","Pmg","MGmg","Kmg","NAmg","FEmg","MFP_FEmg","ZNmg","CUmg","MNmg"
"34","Mixed porridge flour (maize and oil)","A1","Cereal and Cereal products","TZ08","None listed","414.4","16.899999999999999","0","0","15.6","2.2000000000000002","6.2","6.1","56.1","0","7","1.8","1037.2",0.6,"0",0,2.8,0.6,0.3,0.2,"2.8",0.2,63,0,0.8,"178","349","448","840","318","200","278","596","365","537","552","282",78,333.4,147.6,63.1,18.2,5.6,0,"2.6",0.6,3.1
"19","Mixed porridge flour (no maize)","A1","Cereal and Cereal products","TZ08","None listed","332.2","10.1","0","0","7","1","3.1","2.4","62.1","0","9","0.8","694",3.5,"0",0,2.3,0,0.2,0.1,"4.2",0.2,32.9,0,0.9,"159.19999999999999","514","598","1251.8","595.29999999999995","239.8","185","693.8","509","707","1029.5","348.7",55,235.3,60.5,263.5,8.2,3.3,0,"1.4",0.4,1.6
"18","Mixed porridge flour (with maize)","A1","Cereal and Cereal products","TZ08","None listed","382.2","13.8","0","0","10.199999999999999","1.5","4.0999999999999996","4","63.5","0","8.6","1.3","699",2.3,"0",0,1.6,0.3,0.2,0.1,"2.8",0.1,39,0,0.6,"94","225","421","727","252","221","131","326","232","505","316","137",11.9,306.8,103.2,513.1,15,4.6,0,"2",0.6,2.3
"20","Porridge, fermented","A1","Cereal and Cereal products","TZ08","None listed","43","1","0","0","0.4","0.1","0.1","0.2","9.1999999999999993","0","0.9","0","96",0,"0",0,0,0,0.1,0,"0.4",0,3,0,0.1,"132","419.7","480.1","1203.5","361.6","201.4","172.7","622.20000000000005","425.3","606.1","922.9","288.5",1,29,15,34,4,0.4,0,"0.2",0,0.1
"22","Rice, flour, local","A1","Cereal and Cereal products","TZ08","None listed","366","5.9","0","0","1.4","0.4","0.4","0.4","80.099999999999994","0","2.4","0.1","353",0,"0",0,0,0,0.1,0.1,"1.1000000000000001",0.1,6,0,1.2,"72","217","244","488","207","144","137","317","314","348","516","149",8,104,36,81,0,0.6,0,"1.1000000000000001",0.1,1.1
"21","Rice, fried and boiled","A1","Cereal and Cereal products","TZ08","None listed","174","2.6","0","0","7.4","1.1000000000000001","1.8","4.3","24.6","0","1.3","0.1","94",87,"0",0,0,19,0.1,0.1,"0.9",0.1,16,0,0.5,"192.1","655.29999999999995","701","1420.8","801","258.3","266.39999999999998","868.8","654.70000000000005","816.2","1438.5","452.6",7,50,20,242,9,0.6,0,"0.4",0.1,0.4
"23","Rice, white, grain, raw","A1","Cereal and Cereal products","TZ08","None listed","358","6.5","0","0","0.5","0.1","0.2","0.1","79.8","0","0.8","0.3","352",0,"0",0,0,0,0.1,0.1,"1.1000000000000001",0.1,6,0,1.1,"75","263","281","538","235","153","133","318","217","397","542","153",8,103,36,81,0,0.6,0,"1.1000000000000001",0.1,1.1
"35","Semolina","A1","Cereal and Cereal products","TZ08","None listed","364","10.3","0","0","1","0.2","0.1","0.4","76.3","0","2.7","0.4","282",0,"0",0,0,0,0.1,0,"1.1000000000000001",0,18,0,0.4,"127","281","357","710","228","183","219","520","312","415","417","230",15,108,22,107,2,1.2,0,"0.7",0.1,0.7
"24","Sorghum","A1","Cereal and Cereal products","TZ08","None listed","339","11.3","0","0","3.3","0.5","1","1.4","74.599999999999994","0","9","0.7","439",6,"0",0,1,0,0.2,0.1,"2.2000000000000002",0.2,11,0,0.8,"78","238","288","552","241","157","137","356","224","406","554","157",15,222,34,131,7,4.1,0,"0.8",0.3,0.9
"26","Sorghum, flour","A1","Cereal and Cereal products","TZ08","None listed","339","11.3","0","0","3.3","0.5","1","1.4","73.7","0","12.7","0.7","618",7,"0",0,1,0,0.3,0.1,"2.8",0.2,14,0,0.9,"78","237","287","550","240","156","137","354","223","405","552","156",25,222,171,131,7,4.1,0,"1.6",0.5,0.8
"27","Vermicelli, uncooked","A1","Cereal and Cereal products","TZ08","None listed","395","13.4","0","0","2","0.3","0.3","0.8","79.2","0","4.8","0.8","227",0,"0",0,0,0,0.1,0.1,"1.1000000000000001",0.1,20,0,0.3,"114","346","398","1372","206","169","132","502","295","516","327","226",20,151,50,87,3,1.4,0,"1.4",0.3,0.8
"29","Wheat, flour, whole grain","A1","Cereal and Cereal products","TZ08","None listed","339","13.7","0","0","1.9","0.3","0.2","0.8","72.599999999999994","0","12.2","0.4","282",0,"0",0,0,0,0.4,0.2,"6.4",0.3,34,0,1,"212","395","508","926","378","212","317","646","400","618","542","317",15,108,22,107,2,1.2,0,"0.7",0.1,0.7
"28","Wheat,dough, deep fried","A1","Cereal and Cereal products","TZ08","None listed","317","7.2","0","0","7.7","1.1000000000000001","1.7","4.4000000000000004","53.4","0","1.9","0.3","197",0,"0",0,0,0,0.1,0,"0.8",0,13,0,0.3,"124","346","433","1491","229","169","127","546","321","561","355","246",11,76,15,75,1,0.8,0,"0.5",0.1,0.5
"30","Wheat, flour, 0.72 extract","A1","Cereal and Cereal products","TZ08","None listed","364","10.3","0","0","1","0.2","0.1","0.4","76.3","0","2.7","0.4","282",0,"0",0,0,0,0.1,0,"1.1000000000000001",0,18,0,0.4,"89","197","250","497","160","128","153","364","218","291","292","161",15,108,22,107,2,1.2,0,"0.7",0.1,0.7
